,Geographic Cluster Name,STEM,Free,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score
0,ALBANY PARK,Non-STEM,Free,face_to_face,175,40139.0,41.06857142857143,41.96748203994285,229.3657142857143,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8
1,ALBANY PARK,Non-STEM,Not Free,face_to_face,248,3384.0,28.177419354838708,41.972663235685616,13.64516129032258,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8
2,ALBANY PARK,Non-STEM,Not Free,online,1,10.0,12.0,41.97372818,10.0,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8
3,ALBANY PARK,STEM,Free,face_to_face,8,4279.0,48.75,41.96860838125,534.875,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8
4,ALBANY PARK,STEM,Not Free,face_to_face,7,54.0,33.285714285714285,41.97370910857143,7.714285714285714,51542.0,46198.0,0.494,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8
5,ARCHER HEIGHTS,Non-STEM,Free,face_to_face,99,5353.0,36.43434343434343,41.80188250585859,54.07070707070707,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9
6,ARCHER HEIGHTS,Non-STEM,Free,online,1,18.0,99.0,,18.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9
7,ARCHER HEIGHTS,Non-STEM,Not Free,face_to_face,166,3696.0,27.373493975903614,41.80349828024095,22.265060240963855,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9
8,ARCHER HEIGHTS,Non-STEM,Not Free,online,4,39.0,10.25,41.80348587,9.75,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9
9,ARCHER HEIGHTS,STEM,Free,face_to_face,4,1831.0,99.0,41.81974602,457.75,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9
10,ARCHER HEIGHTS,STEM,Not Free,face_to_face,3,0.0,99.0,41.80350113,0.0,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9
11,ARMOUR SQUARE,Non-STEM,Free,face_to_face,147,52740.0,45.17687074829932,41.844489323129245,358.7755102040816,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9
12,ARMOUR SQUARE,Non-STEM,Not Free,face_to_face,274,2575.0,28.598540145985403,41.83508034697073,9.397810218978103,13391.0,27619.0,0.035,0.106,0.123,0.726,5.7,28.3,7.1,33.6,42.7,24823.0,62.9
