Unnamed: 0,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Scholarship,Average Transportation,Average Free Food,Average Capacity,population,income,latinos,blacks,white,asian,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,Capacity Per Capita,labels,race_labels
4.5,43.9,4786.6,38.72337832624356,41.97093788565821,0.0,0.0,0.0,123.94241307116488,51542.0,46198.0,0.49399999999999994,0.04,0.292,0.144,6.4,12.6,6.6,19.3,31.7,32298.0,44.8,0.09286795234954014,3,0
17.0,18.466666666666665,729.1333333333333,36.44928429705215,41.80790071982512,0.0,0.0,0.0,62.6766298185941,13393.0,42571.0,0.76,0.01,0.215,0.01,11.0,10.2,8.5,29.3,40.3,21399.0,62.9,0.054441374847557136,2,6
31.0,34.69230769230769,4272.076923076923,53.01640152800548,41.84426050855825,0.0,1.0878010878010878,0.0,85.83128497418805,13391.0,27619.0,0.035,0.106,0.123,0.7259999999999999,5.700000000000001,28.300000000000004,7.1,33.6,42.7,24823.0,62.89999999999999,0.3190259818592281,4,8
47.0,57.31578947368421,13411.421052631578,58.37148462078756,41.756331941289325,0.14224751066856328,7.017543859649123,0.0,1018.0428845722837,41081.0,62238.0,0.368,0.462,0.152,0.007,4.0,13.0,10.5,17.8,38.0,25905.0,47.4,0.32646286732629626,0,4
65.0,48.588235294117645,15095.764705882353,50.62348453669947,41.748887065908285,0.0,6.25,0.0,142.15129646457757,48743.0,34767.0,0.009,0.9780000000000001,0.003,0.001,1.6,24.2,16.5,15.0,42.3,20665.0,53.2,0.3097011818288236,3,1
86.0,75.36,44401.8,40.157468729307446,41.891586121393026,4.380742541445396,0.4090909090909091,0.0,120.48814159705424,98514.0,32358.0,0.08900000000000001,0.851,0.044,0.006,4.2,27.1,13.4,18.1,39.4,21385.0,56.1,0.4507156343260856,6,1
104.0,26.545454545454547,6006.909090909091,63.21335997577389,41.74548364479429,0.0,0.0,0.0,144.33112958790582,10185.0,46903.0,0.014999999999999998,0.957,0.008,0.002,1.7,16.0,15.7,9.6,42.3,29198.0,46.1,0.5897799794707012,9,1
118.5,89.16666666666667,1188.7222222222222,20.04847330949738,41.9414130689811,0.0,0.0,0.0,18.78669841990687,39262.0,46519.0,0.644,0.025,0.284,0.030000000000000002,2.7,12.1,5.0,15.699999999999998,28.4,35760.0,34.1,0.030276659931287777,7,0
136.5,45.833333333333336,2991.5555555555557,34.15193417409636,41.924771958250936,0.0,0.0,0.0,32.025533360709154,78743.0,42842.0,0.789,0.032,0.152,0.02,7.300000000000001,15.199999999999998,5.1,31.600000000000005,37.0,21612.0,56.3,0.03799138406659072,3,6
152.0,79.15384615384616,3668.846153846154,50.931396056776855,41.71621418218013,0.0,0.0,0.0,138.02327262283418,20034.0,83092.0,0.046,0.3410000000000001,0.588,0.006,0.6,5.700000000000001,5.9,2.5,40.39999999999999,55811.0,26.300000000000004,0.18313098501777741,9,5
168.0,42.473684210526315,4180.736842105263,49.11048053212026,41.81830773834277,0.0,0.0,0.0,45.71603911958061,31977.0,42382.0,0.27,0.021,0.351,0.345,3.2,14.0,6.8,19.1,32.8,31693.0,41.1,0.13074199712622392,7,9
185.5,23.1875,557130.0625,44.30345944710387,41.814847093542184,0.0,4.017857142857143,0.0,5437.848071863749,45368.0,39289.0,0.853,0.012,0.081,0.05,9.2,18.8,10.7,34.0,37.5,18313.0,65.5,12.280242957591254,5,6
194.5,1.0,100.0,99.0,41.724086764999996,0.0,0.0,0.0,100.0,2916.0,32553.0,0.007,0.977,0.007,0.0,1.8,19.8,15.9,14.2,40.2,26587.0,49.1,0.0342935528120713,9,1
206.0,67.85714285714286,139125.85714285713,51.17171748769986,41.804149749694396,0.0,0.0,0.0,3908.8787189434524,44377.0,32222.0,0.573,0.296,0.106,0.016,5.5,28.699999999999996,16.8,30.6,40.2,18040.0,67.0,3.1350892837023037,1,4
231.5,139.46666666666667,81166.86666666667,43.16427942156905,41.814084148026545,0.863914373088685,2.014936325240979,0.0,112.56883611148837,46085.0,27215.0,0.0193333333333333,0.8693333333333332,0.046,0.0453333333333333,1.9,29.6,15.8,10.433333333333332,36.7,28819.0,48.8,1.7612426313695706,1,1
250.5,10.125,174.625,39.47351190476191,41.73117416719345,0.0,0.0,0.0,7.434226190476191,13812.0,55669.0,0.041,0.934,0.009,0.002,0.8,14.2,7.1,5.7,42.5,35884.0,36.5,0.012642991601505914,9,1
261.5,28.571428571428573,3131.5,63.582852243896994,41.74563998067448,4.365079365079366,0.0,0.0,287.0155803294719,31028.0,32057.0,0.01,0.9720000000000001,0.004,0.001,1.7,25.6,16.7,11.8,37.7,25788.0,49.2,0.1009249709939409,7,1
277.0,38.64705882352941,2864.5882352941176,65.87332721027373,41.77146829785696,0.0,0.0,0.0,78.1989005997938,55628.0,37779.0,0.452,0.493,0.043,0.003,4.3,20.4,17.0,25.3,39.9,17620.0,60.0,0.05149543818390227,3,4
293.5,58.375,2972.1875,48.70517287176694,41.78093572984443,0.0,0.0,0.0,50.89491044280476,23139.0,54123.0,0.453,0.012,0.515,0.009,2.2,9.0,10.6,12.2,35.9,27582.0,39.4,0.12844926314879634,2,3
309.0,74.33333333333333,15334.533333333333,50.41749321131287,41.9454685058907,0.0,0.0,0.0,129.03347400026956,41932.0,61584.0,0.238,0.007,0.704,0.038,2.3,8.7,4.4,10.8,36.3,33823.0,34.5,0.36570002225825937,0,2
321.5,78.1,7262.4,40.98263963023608,41.70327253484553,0.0,0.0,0.0,96.08178033257425,23042.0,41196.0,0.784,0.034,0.172,0.002,3.6,13.7,8.1,27.6,41.6,21929.0,52.5,0.31518097387379573,0,6
337.0,53.095238095238095,325401.71428571426,49.457818862052946,41.986309381988136,0.0,0.0,0.0,959.975556478863,56521.0,43331.0,0.165,0.143,0.547,0.11599999999999999,4.2,15.099999999999998,5.5,9.2,26.1,42486.0,32.6,5.757182538980454,1,5
355.0,55.6,1033.2,25.446525745936675,42.00280663718537,0.0,0.0,0.0,14.84846336103866,11187.0,77678.0,0.078,0.003,0.884,0.024,0.1,5.1,1.8,4.3,36.5,61124.0,20.7,0.09235720032180204,9,2
370.5,25.3125,1308.6875,34.80085694534224,41.77602829447835,0.0,0.0,0.0,143.75198147440796,30654.0,19743.0,0.011,0.974,0.003,0.001,1.4,39.7,24.9,23.7,42.7,15034.0,68.2,0.04269222613688259,3,1
385.0,43.53846153846154,2075.5384615384614,65.54408708280275,41.98287979723497,0.0,0.0,0.0,166.74818573836365,18508.0,87394.0,0.115,0.007,0.746,0.107,1.1,5.6,4.9,5.4,42.5,59039.0,28.1,0.11214277401871951,9,2
395.0,25.285714285714285,423.14285714285717,57.85615957297374,41.811927268601984,0.0,0.0,0.0,15.686472819216181,2876.0,15086.0,0.046,0.922,0.016,0.002,1.3,51.9,25.1,23.8,47.2,13982.0,75.1,0.1471289489370157,9,1
409.5,25.727272727272727,96745.90909090909,49.998809603515745,41.797607486216805,0.0,0.0,0.0,484.7187107964947,39894.0,38855.0,0.8919999999999999,0.054,0.047,0.003,8.0,16.7,16.2,32.6,38.6,16155.0,66.4,2.4250741738333854,1,6
433.0,123.36,26348.4,54.59916575430845,41.87942104853677,0.36322826124899643,0.0,0.0,2017.6229733329299,38568.0,23760.5,0.03,0.9355,0.020500000000000004,0.002,4.949999999999999,38.8,21.55,23.05,38.4,15449.5,68.69999999999999,0.6831673926571251,6,1
455.0,62.94736842105263,16609.42105263158,46.33701178146858,41.79784723048479,0.010851871947911011,0.0,0.0,1034.9690644964687,34513.0,61206.0,0.392,0.059,0.532,0.01,3.2,8.4,7.7,17.3,38.8,32788.0,41.9,0.4812511532649025,0,3
472.5,19.5,971.625,46.39803431372549,41.75896012807025,0.0,0.0,0.0,22.752240084670234,32602.0,29663.0,0.012,0.969,0.006,0.001,1.8,33.1,19.8,13.5,40.4,19735.0,57.1,0.02980261947119806,3,1
486.0,40.81818181818182,820.0,55.54910147410744,41.65877532002197,0.0,0.0,0.0,32.71548355572241,9426.0,49924.0,0.49599999999999994,0.039,0.449,0.005,2.5,15.5,9.9,18.1,38.0,27754.0,45.4,0.08699342244854656,9,3
496.5,30.7,452.8,40.64107397345202,41.927964631309784,3.409090909090909,0.0,0.0,22.572525746611113,25010.0,42418.0,0.874,0.03,0.076,0.012,6.6,14.8,5.9,30.2,34.2,24226.0,53.0,0.01810475809676125,0,6
511.5,33.6,6156329.6,36.4101493249271,41.902867396063144,1.3846153846153846,0.0,0.0,47035.53687643817,56323.0,29605.0,0.533,0.409,0.044,0.004,5.6,26.5,10.9,24.9,36.6,20337.0,58.1,109.30400724393232,5,4
529.0,7.733333333333333,590.9333333333333,30.203809523809525,41.794134896107145,7.6190476190476195,16.11111111111111,0.0,40.43928571428571,25681.0,45335.0,0.063,0.304,0.467,0.12399999999999999,1.5,23.3,6.4,3.9,26.3,48606.0,28.6,0.023010526589047658,4,5
