Community Area,No.,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,
Rogers Park,1,6.40%,19.80%,4.60%,11.70%,26.70%,"$29,682 ",40.9,
West Ridge,2,8.10%,14.60%,6.30%,17.40%,39.40%,"$27,671 ",52.1,
Uptown,3,4.40%,19.00%,3.30%,9.80%,24.40%,"$42,112 ",32.4,
Lincoln Square,4,2.30%,8.20%,5.40%,6.40%,26.30%,"$49,797 ",24.7,
North Center,5,0.90%,5.50%,3.20%,3.40%,34.30%,"$77,951 ",18.1,
Lakeview,6,1.80%,8.90%,3.50%,1.80%,20.60%,"$74,366 ",13.5,
Lincoln Park,7,0.90%,10.10%,3.10%,2.00%,24.00%,"$90,189 ",11.4,
Near North Side,8,2.10%,10.30%,2.70%,1.90%,22.10%,"$104,139 ",9.4,
Edison Park,9,0.10%,5.10%,1.80%,4.30%,36.50%,"$61,124 ",20.7,
Norwood Park,10,1.20%,8.20%,4.30%,7.30%,41.00%,"$45,474 ",31.3,
Jefferson Park,11,2.30%,7.30%,4.40%,7.40%,35.90%,"$35,584 ",31.9,
Forest Glen,12,1.10%,5.60%,4.90%,5.40%,42.50%,"$59,039 ",28.1,
North Park,13,5.10%,14.90%,5.10%,13.00%,39.50%,"$32,507 ",44.1,
Albany Park,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,
Portage Park,15,4.10%,9.30%,5.50%,12.90%,33.90%,"$33,413 ",37.7,
Irving Park,16,2.30%,8.40%,5.90%,13.60%,31.50%,"$38,888 ",32.9,
Dunning,17,2.30%,8.70%,4.40%,10.80%,36.30%,"$33,823 ",34.5,
Montclare,18,3.80%,11.80%,4.10%,21.00%,39.50%,"$28,270 ",44.8,
Belmont Cragin,19,7.30%,15.20%,5.10%,31.60%,37.00%,"$21,612 ",56.3,
Hermosa,20,6.60%,14.80%,5.90%,30.20%,34.20%,"$24,226 ",53,
Avondale,21,2.70%,12.10%,5.00%,15.70%,28.40%,"$35,760 ",34.1,
Logan Square,22,2.20%,10.30%,3.40%,8.40%,24.30%,"$52,835 ",23.4,
Humboldt Park,23,5.60%,26.50%,10.90%,24.90%,36.60%,"$20,337 ",58.1,
West Town,24,1.30%,8.80%,3.20%,5.80%,19.40%,"$68,188 ",14.8,
Austin,25,4.20%,27.10%,13.40%,18.10%,39.40%,"$21,385 ",56.1,
West Garfield Park,26,6.10%,34.80%,24.10%,25.30%,38.40%,"$14,760 ",71.6,
East Garfield Park,27,3.80%,42.80%,19.00%,20.80%,38.40%,"$16,139 ",65.8,
Near West Side,28,4.50%,16.50%,6.20%,6.10%,21.90%,"$59,635 ",27.1,
North Lawndale,29,3.70%,33.20%,17.20%,20.40%,37.50%,"$17,708 ",60.3,
