,Geographic Cluster Name,Category Name,Meeting Type,Total Programs,Total Capacity,Average Max Age,Average Latitude,Average Capacity,population,income,latinos,blacks,white,asian,other,No.,Percent of rowded Housing,Percent of Households With Income Below Poverty Level,Unemployment Rate for Population over 16,Percent Aged 25 and Over with no High School Diploma,Percent of Population Under Age 18 and Over Age 64,Per Capita Income,Hardship Index Score,Capacity Per Capita
0,ALBANY PARK,Academic Support,face_to_face,14,210.0,7.928571428571429,41.97370338714285,15.0,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.004074347134375849
1,ALBANY PARK,Building & Fixing Things,face_to_face,1,99.0,99.0,41.96839905,99.0,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.0019207636490629002
2,ALBANY PARK,Computers.,face_to_face,5,3930.0,18.6,41.96839294600001,786.0,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.07624849637189089
3,ALBANY PARK,Healthcare,face_to_face,2,20.0,99.0,41.973714830000006,10.0,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.0003880330604167475
4,ALBANY PARK,Music & Art.,face_to_face,187,38557.0,51.44385026737968,41.97087462540105,206.18716577540107,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.7480695355244267
5,ALBANY PARK,Music & Art.,online,1,10.0,12.0,41.97372818,10.0,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.00019401653020837374
6,ALBANY PARK,Nature.,face_to_face,9,304.0,47.888888888888886,41.97271855888889,33.77777777777778,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.0058981025183345625
7,ALBANY PARK,Reading & Writing.,face_to_face,32,1927.0,20.9375,41.96930170218751,60.21875,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.03738698537115362
8,ALBANY PARK,Science ,face_to_face,5,20.0,11.2,41.968395998000005,4.0,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.0003880330604167475
9,ALBANY PARK,Sports + Wellness.,face_to_face,183,2789.0,19.23497267759563,41.970149578961774,15.240437158469945,51542,46198,0.494,0.04,0.292,0.144,0.029,14,6.40%,12.60%,6.60%,19.30%,31.70%,"$32,298 ",44.8,0.05411121027511544
10,ARCHER HEIGHTS,Academic Support,face_to_face,8,100.0,7.0,41.80349922250001,12.5,13393,42571,0.76,0.01,0.215,0.01,0.005,57,11.00%,10.20%,8.50%,29.30%,40.30%,"$21,399 ",62.9,0.007466587023071754
11,ARCHER HEIGHTS,Academic Support,online,1,10.0,6.0,41.80348587,10.0,13393,42571,0.76,0.01,0.215,0.01,0.005,57,11.00%,10.20%,8.50%,29.30%,40.30%,"$21,399 ",62.9,0.0007466587023071754
12,ARCHER HEIGHTS,Building & Fixing Things,face_to_face,3,1813.0,99.0,41.80089442333334,604.3333333333334,13393,42571,0.76,0.01,0.215,0.01,0.005,57,11.00%,10.20%,8.50%,29.30%,40.30%,"$21,399 ",62.9,0.1353692227282909
