,,TOTAL HOUSEHOLDS,,,,,,,,,TOTAL HOUSEHOLD POPULATION,,,,,,,,,TOTAL EMPLOYMENT (WAGE & SALARY),,,,,,,
CCA,COMMUNITY AREA NAME,2015,2020,2025,2030,2035,2040,2045,2050,,2015,2020,2025,2030,2035,2040,2045,2050,,2015,2020,2025,2030,2035,2040,2045,2050
14,Albany Park," 16,693 "," 16,974 "," 17,170 "," 17,199 "," 17,131 "," 17,084 "," 17,061 "," 17,045 ",," 50,523 "," 51,481 "," 52,227 "," 52,591 "," 52,591 "," 52,591 "," 52,591 "," 52,591 ",," 6,036 "," 6,153 "," 6,301 "," 6,455 "," 6,466 "," 6,478 "," 6,489 "," 6,501 "
57,Archer Heights," 3,883 "," 4,121 "," 4,411 "," 4,625 "," 4,650 "," 4,681 "," 4,682 "," 4,683 ",," 13,295 "," 13,898 "," 14,552 "," 15,052 "," 15,109 "," 15,189 "," 15,189 "," 15,189 ",," 9,620 "," 10,008 "," 10,132 "," 10,346 "," 10,513 "," 10,661 "," 10,789 "," 10,960 "
34,Armour Square," 5,599 "," 5,996 "," 6,349 "," 6,587 "," 6,677 "," 6,685 "," 6,683 "," 6,693 ",," 14,121 "," 14,801 "," 15,285 "," 15,591 "," 15,716 "," 15,716 "," 15,716 "," 15,716 ",," 5,370 "," 5,626 "," 5,715 "," 5,797 "," 5,850 "," 5,858 "," 5,863 "," 5,868 "
70,Ashburn," 12,843 "," 13,191 "," 13,609 "," 14,198 "," 14,810 "," 15,083 "," 15,220 "," 15,267 ",," 40,860 "," 41,832 "," 42,925 "," 44,275 "," 45,718 "," 46,278 "," 46,488 "," 46,648 ",," 5,087 "," 5,303 "," 5,541 "," 5,922 "," 6,393 "," 6,915 "," 7,031 "," 7,227 "
71,Auburn Gresham," 16,880 "," 17,558 "," 18,450 "," 19,480 "," 20,542 "," 21,373 "," 21,404 "," 21,431 ",," 46,112 "," 47,197 "," 48,481 "," 50,121 "," 52,167 "," 53,966 "," 54,023 "," 54,023 ",," 3,117 "," 3,240 "," 3,428 "," 3,739 "," 4,189 "," 4,763 "," 4,977 "," 4,986 "
25,Austin," 33,160 "," 34,218 "," 35,661 "," 37,477 "," 39,328 "," 40,135 "," 40,517 "," 40,686 ",," 96,583 "," 98,810 "," 101,546 "," 105,197 "," 109,331 "," 111,297 "," 112,251 "," 112,639 ",," 15,321 "," 15,686 "," 16,075 "," 16,713 "," 17,599 "," 18,513 "," 18,937 "," 19,501 "
45,Avalon Park," 3,867 "," 4,051 "," 4,299 "," 4,586 "," 4,854 "," 5,010 "," 5,058 "," 5,066 ",," 9,818 "," 10,090 "," 10,423 "," 10,831 "," 11,288 "," 11,583 "," 11,673 "," 11,673 ",, 933 , 960 ," 1,009 "," 1,086 "," 1,198 "," 1,311 "," 1,358 "," 1,362 "
21,Avondale," 13,981 "," 14,294 "," 14,503 "," 14,487 "," 14,461 "," 14,373 "," 14,318 "," 14,304 ",," 39,678 "," 40,636 "," 41,332 "," 41,626 "," 41,791 "," 41,791 "," 41,791 "," 41,791 ",," 9,138 "," 11,153 "," 11,302 "," 11,516 "," 11,625 "," 11,712 "," 11,699 "," 11,686 "
19,Belmont Cragin," 22,217 "," 22,615 "," 23,054 "," 23,544 "," 23,940 "," 23,913 "," 23,909 "," 23,889 ",," 78,974 "," 80,400 "," 81,886 "," 83,516 "," 84,812 "," 84,812 "," 84,812 "," 84,812 ",," 9,600 "," 9,812 "," 10,090 "," 10,466 "," 10,914 "," 11,046 "," 11,070 "," 11,094 "
72,Beverly," 7,839 "," 8,104 "," 8,420 "," 8,845 "," 9,330 "," 9,570 "," 9,602 "," 9,601 ",," 20,537 "," 21,056 "," 21,621 "," 22,349 "," 23,266 "," 23,707 "," 23,707 "," 23,707 ",," 4,252 "," 4,326 "," 4,460 "," 4,692 "," 5,027 "," 5,332 "," 5,359 "," 5,362 "
60,Bridgeport," 13,141 "," 13,649 "," 14,081 "," 14,140 "," 14,223 "," 14,306 "," 14,500 "," 14,489 ",," 33,821 "," 35,044 "," 36,046 "," 36,325 "," 36,589 "," 36,853 "," 37,345 "," 37,345 ",," 5,911 "," 6,006 "," 6,089 "," 6,203 "," 6,283 "," 6,401 "," 6,580 "," 6,610 "
58,Brighton Park," 11,995 "," 12,301 "," 12,643 "," 13,055 "," 13,392 "," 13,788 "," 14,075 "," 14,380 ",," 44,146 "," 45,263 "," 46,444 "," 47,789 "," 48,864 "," 50,135 "," 51,004 "," 52,013 ",," 7,452 "," 7,677 "," 7,876 "," 8,132 "," 8,428 "," 8,735 "," 9,134 "," 9,455 "
47,Burnside," 1,031 "," 1,113 "," 1,217 "," 1,335 "," 1,460 "," 1,560 "," 1,629 "," 1,633 ",," 2,757 "," 2,875 "," 3,007 "," 3,171 "," 3,388 "," 3,582 "," 3,722 "," 3,722 ",," 2,097 "," 2,122 "," 2,162 "," 2,233 "," 2,339 "," 2,461 "," 2,552 "," 2,665 "
48,Calumet Heights," 5,561 "," 5,877 "," 6,269 "," 6,639 "," 6,937 "," 7,182 "," 7,371 "," 7,648 ",," 13,738 "," 14,116 "," 14,521 "," 14,916 "," 15,343 "," 15,760 "," 16,123 "," 16,651 ",," 2,609 "," 2,645 "," 2,709 "," 2,808 "," 2,936 "," 3,091 "," 3,219 "," 3,353 "
44,Chatham," 13,991 "," 14,563 "," 15,203 "," 15,835 "," 16,300 "," 16,604 "," 16,675 "," 16,690 ",," 31,295 "," 32,129 "," 32,937 "," 33,759 "," 34,467 "," 34,980 "," 35,093 "," 35,093 ",," 4,830 "," 4,945 "," 5,136 "," 5,403 "," 5,733 "," 6,004 "," 6,238 "," 6,246 "
66,Chicago Lawn," 15,911 "," 16,255 "," 16,702 "," 17,309 "," 17,818 "," 18,111 "," 18,171 "," 18,158 ",," 55,305 "," 56,407 "," 57,714 "," 59,420 "," 60,875 "," 61,732 "," 61,859 "," 61,859 ",," 4,953 "," 5,136 "," 5,309 "," 5,583 "," 5,919 "," 6,264 "," 6,381 "," 6,392 "
64,Clearing," 8,838 "," 9,345 "," 9,729 "," 9,977 "," 10,158 "," 10,185 "," 10,182 "," 10,185 ",," 23,761 "," 24,796 "," 25,477 "," 25,925 "," 26,296 "," 26,362 "," 26,362 "," 26,362 ",," 3,883 "," 4,020 "," 4,130 "," 4,271 "," 4,417 "," 4,515 "," 4,635 "," 4,639 "
35,Douglas," 9,439 "," 9,845 "," 10,322 "," 10,679 "," 11,096 "," 11,646 "," 12,394 "," 12,818 ",," 17,736 "," 18,311 "," 18,894 "," 19,356 "," 19,985 "," 20,938 "," 22,255 "," 22,961 ",," 7,844 "," 8,660 "," 8,925 "," 9,015 "," 9,143 "," 9,340 "," 9,658 "," 9,919 "
17,Dunning," 15,903 "," 16,280 "," 16,798 "," 17,444 "," 17,965 "," 18,133 "," 18,278 "," 18,288 ",," 42,540 "," 43,206 "," 44,041 "," 45,135 "," 46,142 "," 46,468 "," 46,782 "," 46,782 ",," 7,052 "," 7,207 "," 7,424 "," 7,769 "," 8,157 "," 8,468 "," 8,693 "," 8,860 "
27,East Garfield Park," 7,173 "," 7,624 "," 8,165 "," 8,892 "," 9,715 "," 10,486 "," 11,512 "," 12,380 ",," 19,844 "," 20,801 "," 21,831 "," 23,309 "," 25,089 "," 26,878 "," 29,206 "," 31,132 ",," 2,795 "," 2,898 "," 3,010 "," 3,179 "," 3,406 "," 3,727 "," 4,101 "," 4,718 "
52,East Side," 7,375 "," 7,620 "," 7,964 "," 8,399 "," 8,822 "," 8,990 "," 9,204 "," 9,457 ",," 23,809 "," 24,458 "," 25,281 "," 26,337 "," 27,403 "," 27,823 "," 28,355 "," 29,037 ",," 1,772 "," 1,959 "," 2,112 "," 2,343 "," 2,631 "," 2,810 "," 3,029 "," 3,263 "
77,Edgewater," 29,098 "," 29,562 "," 30,007 "," 30,194 "," 30,162 "," 30,113 "," 30,012 "," 30,005 ",," 51,865 "," 52,722 "," 53,468 "," 53,943 "," 54,097 "," 54,261 "," 54,270 "," 54,270 ",," 9,945 "," 10,072 "," 10,222 "," 10,400 "," 10,512 "," 10,636 "," 10,771 "," 10,780 "
9,Edison Park," 4,795 "," 4,923 "," 5,092 "," 5,341 "," 5,536 "," 5,572 "," 5,577 "," 5,580 ",," 11,204 "," 11,412 "," 11,659 "," 12,040 "," 12,374 "," 12,426 "," 12,426 "," 12,426 ",," 4,248 "," 4,283 "," 4,348 "," 4,460 "," 4,621 "," 4,705 "," 4,708 "," 4,712 "
68,Englewood," 9,884 "," 10,473 "," 11,238 "," 12,109 "," 13,121 "," 14,525 "," 16,514 "," 18,976 ",," 29,092 "," 30,262 "," 31,613 "," 33,302 "," 35,521 "," 38,900 "," 43,667 "," 49,440 ",," 3,493 "," 3,737 "," 3,934 "," 4,238 "," 4,669 "," 5,333 "," 6,355 "," 8,117 "
12,Forest Glen," 6,941 "," 7,324 "," 7,720 "," 8,189 "," 8,482 "," 8,548 "," 8,572 "," 8,578 ",," 18,420 "," 19,099 "," 19,711 "," 20,459 "," 20,963 "," 21,024 "," 21,024 "," 21,024 ",," 7,640 "," 7,754 "," 7,894 "," 8,105 "," 8,254 "," 8,310 "," 8,312 "," 8,314 "
37,Fuller Park," 1,160 "," 1,313 "," 1,514 "," 1,749 "," 1,942 "," 2,195 "," 2,649 "," 3,084 ",," 2,801 "," 3,036 "," 3,307 "," 3,632 "," 3,935 "," 4,388 "," 5,226 "," 6,019 ",," 1,297 "," 1,328 "," 1,376 "," 1,460 "," 1,587 "," 1,714 "," 1,945 "," 2,474 "
